"latitude","longitude","depth","mag"
35.7498333,-117.5723333,3.14,1.02
33.4273333,-116.584,17.58,0.74
36.1128333,-117.8743333,1.91,1.32
35.9081667,-117.6908333,4.69,0.77
33.1725,-116.8308333,13.23,0.88
34.1075,-117.3318333,14.14,1.24
35.9811667,-117.3836667,4.88,1.31
35.9108333,-117.7396667,10.02,0.86
36.1105,-117.8511667,3.12,1.67
38.7748337,-122.7360001,1.88,1.17
35.876,-117.7066667,10.84,0.53
38.8025017,-122.7323303,2.25,0.15
35.6108333,-117.5926667,6.75,1.41
36.1078333,-117.8526667,2.35,1.58
38.8144989,-122.8098297,1.74,0.55
35.5748333,-117.3461667,2.67,1.03
33.6758333,-116.947,5.2,0.77
35.9903333,-117.3473333,2.73,2.02
36.116,-117.8561667,0.73,2.19
38.8161659,-122.8206635,0.84,1.22
38.8025017,-122.7331696,2.51,0.76
35.8471667,-117.689,8.66,1.38
35.632,-117.5896667,7.81,1.34
38.7919998,-122.7474976,1.59,0.66
33.5961667,-116.8043333,5.1,0.86
35.676,-117.4911667,3.87,1.14
33.5988333,-116.8066667,5.8,0.76
33.7493333,-116.9253333,13.69,0.84
35.6385,-117.4131667,9.63,0.88
38.8264999,-122.7563324,0.16,0.89
35.6168333,-117.472,6.78,3.46
38.793335,-122.7588348,3.45,0.56
33.5931667,-116.8056667,3.92,0.82
35.8941667,-117.688,1.41,0.77
38.8166656,-122.8146667,2.87,0.56
33.7695,-116.923,10.63,0.44
35.5628333,-117.403,3.45,1.09
36.5713348,-121.1363297,5.28,1.06
33.393,-116.4211667,10.92,0.99
36.113,-117.8556667,2.53,2.11
36.1108333,-117.8593333,2.59,2.26
33.2256667,-116.7336667,10.48,0.52
35.715,-117.5703333,6.97,1.05
35.876,-117.7076667,10.69,0.77
35.84,-117.6441667,6.35,0.54
33.581,-116.8095,4.89,1.14
37.5733337,-118.815834,10.03,2.14
35.786499,-120.3271637,2.86,1.77
36.1096667,-117.8538333,2.65,1.68
33.7593333,-116.9176667,14.27,0.8
33.759,-116.926,13.35,2.12
33.3626667,-116.3823333,14.44,0.75
36.1108333,-117.8526667,3.08,0.88
35.8641667,-117.6771667,8.99,0.55
33.3958333,-116.4125,12.89,0.89
36.5584984,-121.0931702,11.31,1.4
33.39,-116.4335,11.36,2.23
35.7993333,-117.6303333,8.27,1.07
36.1115,-117.8593333,3.04,1.26
36.0956667,-117.9093333,4.47,0.85
36.1128333,-117.8538333,3.44,1.19
36.1123333,-117.858,2.24,2.66
35.8623333,-117.688,4.51,0.49
33.5096667,-116.454,6.84,0.49
38.7993317,-122.817337,3.21,0.56
33.1291667,-116.3885,7.24,0.85
36.1125,-117.8565,2.72,1.74
36.113,-117.8568333,3.04,2.75
38.8271675,-122.8111649,1.56,0.56
33.9396667,-117.1346667,15.16,0.85
35.7875,-117.6101667,2.85,1.61
35.5303333,-117.4906667,6.53,1.74
35.8608333,-117.6666667,5.41,0.62
33.591,-116.8095,5.05,0.37
34.008,-116.3238333,7.43,0.94
35.7186667,-117.5388333,7,1
33.4821667,-116.8023333,4.96,0.75
40.2895012,-124.3903351,21.23,2.15
35.6038333,-117.4098333,8.88,2.3
39.6655006,-121.9663315,22.75,1.95
36.229,-117.907,0.61,1.61
35.9696667,-117.664,2.08,1.69
39.3614998,-123.283165,2.95,1.18
35.9155,-117.706,10.04,0.8
35.6711667,-117.4818333,5.02,0.94
34.2085,-117.411,12.54,1.8
38.7924995,-122.8056641,2.7,0.79
38.793335,-122.8071671,2.94,0.66
38.8139992,-122.8125,3.09,0.55
35.8883333,-117.682,4.58,0.38
35.6393333,-117.472,5.64,0.79
36.1118333,-117.8535,3.08,1.57
37.6471667,-118.8383333,5.4,0.52
33.8611667,-117.791,14.44,1.21
33.7383333,-117.0398333,14.01,0.57
35.0441667,-117.671,-0.79,1.56
32.9155,-116.1933333,10.66,1.2
33.8611667,-116.824,18.36,0.9
35.8676667,-117.691,9.64,1.25
38.8023338,-122.8026657,2.35,0.55
37.709,-119.428,-2.68,1.54
35.8778333,-117.7101667,1.5,1.26
33.5615,-116.8081667,7.96,0.51
33.7908333,-116.0966667,2.48,1.92
33.3778333,-116.9773333,6.82,0.75
38.8580017,-122.7726669,-0.68,0.8
35.649,-117.5351667,5.87,1.53
38.8390007,-122.8311691,2.13,0.73
40.2526665,-124.1693344,13.13,1.99
37.5740013,-122.3721695,9.95,1.11
35.662,-117.4726667,6.16,1.47
38.8370018,-122.7486649,0.91,1
35.7878333,-117.6125,6.56,0.98
33.6031667,-116.804,5.28,0.34
35.8015,-117.6235,5.62,1.34
35.802,-117.605,6.46,1.07
35.905,-117.7233333,2.44,0.9
35.744,-117.54,1.36,1
38.8334999,-122.8066635,16.02,0.66
33.5086667,-116.7795,5.25,0.42
38.786499,-122.7289963,1.52,1.57
33.9118333,-117.604,3.66,1.92
38.8125,-122.7874985,1.71,0.61
33.3801667,-116.3161667,11.24,2.85
38.8241653,-122.7953339,2.37,0.92
38.8019981,-122.8178329,2.18,1.04
38.802166,-122.8171692,2,1.69
35.8996667,-117.738,2.48,1.09
35.9061667,-117.7381667,2.99,1.83
33.9951667,-116.7821667,10.9,0.84
38.7898331,-122.7373352,1.71,0.65
40.5711667,-121.6165,5.29,0.6
34.0326667,-117.2431667,16.43,1.17
35.9161667,-117.7326667,7.26,1.64
35.6836667,-117.4875,7.99,0.88
38.7971649,-122.7356644,1.87,0.64
36.0931667,-117.8658333,3.11,1.45
35.8236656,-121.4991684,4.78,2.4
33.6773333,-116.9481667,5.08,0.76
33.5026667,-116.7958333,2.73,0.44
35.7031667,-117.5098333,9.5,1.1
35.7653333,-117.589,3.41,1.1
37.6128333,-118.889,0.83,0.48
33.313,-116.8575,14.43,0.88
33.9761667,-116.7401667,11.73,1.54
37.562,-118.834,0.11,0.68
33.8261667,-118.8006667,13,1.84
33.7623333,-116.9183333,14.67,0.76
35.9146667,-117.6941667,1.89,1.63
33.68,-116.949,6.16,0.67
33.6791667,-116.9523333,5.15,1.71
36.0998333,-117.906,4.42,1.77
35.6655,-117.422,5.24,1.14
38.7973328,-122.7468338,1.61,0.79
36.9471664,-121.5943298,4.7,1.4
36.9661674,-121.6066666,4.37,1.42
36.1843333,-117.8641667,2.56,1.56
35.8681667,-117.6831667,7.04,1.08
35.9218333,-117.6963333,3.27,0.57
35.9086667,-117.7275,5.61,0.56
35.798,-117.6216667,3.12,0.93
36.1328333,-117.8671667,4.09,0.94
33.5868333,-116.809,5.49,0.6
35.9208333,-117.7178333,3.69,0.54
36.1021667,-117.8496667,3.32,0.89
40.2655,-121.1763333,3.16,1.14
33.1408333,-116.4838333,8.7,0.97
35.8468333,-117.6766667,2.67,0.54
33.4921667,-116.8038333,6.67,0.63
36.0985,-117.8335,1.19,1.35
35.8236667,-117.6795,6.42,1.35
33.5901667,-116.8066667,4.86,0.55
35.3523333,-117.8151667,11.24,1.38
38.814167,-122.8088303,1.27,1.15
35.8655,-117.7016667,5.16,1.02
35.919,-117.7385,5.41,1.12
40.2635,-121.1768333,-1.18,1.28
35.9081667,-117.7223333,0.88,1.12
33.9865,-116.6871667,13.95,1.71
35.762,-117.5556667,9.83,1.5
35.589,-117.49,10.11,0.36
38.8125,-122.8081665,-0.61,1.03
35.7913333,-117.635,10.25,0.86
37.5999985,-118.9291687,1.62,1.2
38.8296661,-122.8671646,2.69,0.58
37.6351667,-118.9223333,4.3,0.34
34.0236667,-117.2261667,14.75,1.22
35.8593333,-117.6981667,8.85,1.57
38.0783348,-118.9666672,2.54,2.31
38.7826653,-122.7214966,1.31,0.44
35.3488333,-117.833,6.93,1.13
38.1624985,-122.8345032,7.7,1.54
35.743,-118.0551667,0.07,0.91
35.8506667,-117.6831667,4.77,0.67
32.9048333,-116.2776667,9.39,1.37
33.6025,-116.8101667,9.21,0.44
34.9968333,-118.1805,-0.82,1.65
35.8653333,-117.6881667,4.03,1.11
33.5951667,-116.8098333,6.13,0.69
38.8364983,-122.793663,2.01,0.56
35.8045,-117.6316667,3.65,2.86
33.7538333,-116.9185,14.18,0.75
38.7723351,-122.7365036,2.05,1.4
34.009,-117.1355,10.12,1.58
37.7301667,-118.7741667,6.74,0.74
34.961,-119.6971667,6.64,1.57
34.1868333,-117.1236667,3.53,0.84
33.7811667,-116.9141667,11.6,0.62
35.9101667,-117.7353333,11,0.74
33.0268333,-116.5246667,14.17,1.09
36.0818333,-117.9088333,4.97,1.19
38.8035011,-122.741333,1.65,1
